GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A087WZX0	BCL9L	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015668	9606	InterPro		P
UniProtKB	A0A087WZX0	BCL9L	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR15185:SF3	9606	TreeGrafter		P
UniProtKB	A0A0A0MTL7	TCF7L2	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR10373:SF32	9606	TreeGrafter		P
UniProtKB	A0A0D9SGH8	TCF7L2	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR10373:SF32	9606	TreeGrafter		P
UniProtKB	A0A0E3KII0	LDLR	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR46513:SF36	9606	TreeGrafter		P
UniProtKB	A0A0J9YWZ5	DVL1	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR10878:SF5	9606	TreeGrafter		P
UniProtKB	A0A0J9YYK1	DVL1	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR10878:SF5	9606	TreeGrafter		P
UniProtKB	A0A0S2Z487	JUP	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR45976:SF3	9606	TreeGrafter		P
UniProtKB	A0A0S2Z495	JUP	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR45976:SF3	9606	TreeGrafter		P
UniProtKB	A0A0S2Z4R0	AXIN1	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35625|ensembl:ENSMUSP00000073974	9606	Ensembl		P
UniProtKB	A0A140VJU3	A0A140VJU3	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97299|ensembl:ENSMUSP00000029625	9606	Ensembl		P
UniProtKB	A0A140VJU3	A0A140VJU3	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR11309:SF149	9606	TreeGrafter		P
UniProtKB	A0A140VK15	A0A140VK15	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QZL9|ensembl:ENSMUSP00000033057	9606	Ensembl		P
UniProtKB	A0A172Q392	A0A172Q392	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR11309:SF86	9606	TreeGrafter		P
UniProtKB	A0A1B0GVE1	TCF7L2	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR10373:SF32	9606	TreeGrafter		P
UniProtKB	A0A1P8NQD1	LRP5	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR46513:SF16	9606	TreeGrafter		P
UniProtKB	A0A2H4GYZ1	WNT10A	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR12027:SF89	9606	TreeGrafter		P
UniProtKB	A0A2K8FR47	WNT10A	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR12027:SF89	9606	TreeGrafter		P
UniProtKB	A0A2R8Y543	CTNNB1	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR45976:SF4	9606	TreeGrafter		P
UniProtKB	A0A2R8Y5A3	CTNNB1	involved_in	GO:0060070	canonical Wnt signaling pathway	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR45976:SF4	9606	TreeGrafter		P
